Model,HF_Model_Path,Benchmark,Task,Metric,Score,Score_StdErr,N_Samples_Original,N_Samples_Effective,Version,Date,Runtime_Seconds,Notes,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,IFEval,leaderboard_ifeval,prompt_level_strict_acc,0.2939001848428835,0.0196036120156371,541.0,541.0,3.0,2025-09-04T11:37:36,25935.668718641988,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,IFEval,leaderboard_ifeval,prompt_level_loose_acc,0.3049907578558225,0.0198126126812243,541.0,541.0,3.0,2025-09-04T11:37:36,25935.668718641988,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,IFEval,leaderboard_ifeval,inst_level_strict_acc,0.434052757793765,,541.0,541.0,3.0,2025-09-04T11:37:36,25935.668718641988,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,IFEval,leaderboard_ifeval,inst_level_loose_acc,0.4436450839328537,,541.0,541.0,3.0,2025-09-04T11:37:36,25935.668718641988,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,Math Hard,leaderboard_math_hard,exact_match,0.1699395770392749,0.0096957656782434,,,,2025-09-05T01:32:40,33574.73490146399,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,Math Hard,leaderboard_math_algebra_hard,exact_match,0.3094462540716612,0.0264259521574351,307.0,307.0,3.0,2025-09-05T01:32:40,33574.73490146399,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,Math Hard,leaderboard_math_algebra_hard,exact_match_original,0.2801302931596091,0.0256712061184297,307.0,307.0,3.0,2025-09-05T01:32:40,33574.73490146399,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,Math Hard,leaderboard_math_counting_and_prob_hard,exact_match,0.1219512195121951,0.0296259632992286,123.0,123.0,3.0,2025-09-05T01:32:40,33574.73490146399,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,Math Hard,leaderboard_math_counting_and_prob_hard,exact_match_original,0.1138211382113821,0.0287536008732374,123.0,123.0,3.0,2025-09-05T01:32:40,33574.73490146399,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,Math Hard,leaderboard_math_geometry_hard,exact_match,0.0681818181818181,0.0220223789459028,132.0,132.0,3.0,2025-09-05T01:32:40,33574.73490146399,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,Math Hard,leaderboard_math_geometry_hard,exact_match_original,0.0606060606060606,0.020847129156682,132.0,132.0,3.0,2025-09-05T01:32:40,33574.73490146399,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,Math Hard,leaderboard_math_intermediate_algebra_hard,exact_match,0.0285714285714285,0.009973998820736,280.0,280.0,3.0,2025-09-05T01:32:40,33574.73490146399,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,Math Hard,leaderboard_math_intermediate_algebra_hard,exact_match_original,0.0142857142857142,0.0071043508939153,280.0,280.0,3.0,2025-09-05T01:32:40,33574.73490146399,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,Math Hard,leaderboard_math_num_theory_hard,exact_match,0.1493506493506493,0.0288159624528871,154.0,154.0,3.0,2025-09-05T01:32:40,33574.73490146399,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,Math Hard,leaderboard_math_num_theory_hard,exact_match_original,0.1038961038961039,0.0246679522043541,154.0,154.0,3.0,2025-09-05T01:32:40,33574.73490146399,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,Math Hard,leaderboard_math_prealgebra_hard,exact_match,0.3626943005181347,0.0346971379170437,193.0,193.0,3.0,2025-09-05T01:32:40,33574.73490146399,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,Math Hard,leaderboard_math_prealgebra_hard,exact_match_original,0.3316062176165803,0.0339763654108912,193.0,193.0,3.0,2025-09-05T01:32:40,33574.73490146399,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,Math Hard,leaderboard_math_precalculus_hard,exact_match,0.037037037037037,0.016314377626726,135.0,135.0,3.0,2025-09-05T01:32:40,33574.73490146399,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,Math Hard,leaderboard_math_precalculus_hard,exact_match_original,0.037037037037037,0.016314377626726,135.0,135.0,3.0,2025-09-05T01:32:40,33574.73490146399,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,MMLU-Pro,leaderboard_mmlu_pro,acc,0.3985206117021276,0.0044635962641387,12032.0,12032.0,0.1,2025-09-04T17:29:44,10151.607064055002,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,MuSR,leaderboard_musr,acc_norm,0.4616402116402116,0.0179106536530073,,, ,2025-09-03T22:08:19,2096.553895042998,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,MuSR,leaderboard_musr_murder_mysteries,acc_norm,0.58,0.0312779995046366,250.0,250.0,1.0,2025-09-03T22:08:19,2096.553895042998,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,MuSR,leaderboard_musr_object_placements,acc_norm,0.39453125,0.0306066981502503,256.0,256.0,1.0,2025-09-03T22:08:19,2096.553895042998,,0
Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,MuSR,leaderboard_musr_team_allocation,acc_norm,0.412,0.0311915960260228,250.0,250.0,1.0,2025-09-03T22:08:19,2096.553895042998,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,IFEval,leaderboard_ifeval,prompt_level_strict_acc,0.4417744916820702,0.0213701847589509,541.0,541.0,3.0,2025-09-03T23:44:45,17183.182911912,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,IFEval,leaderboard_ifeval,prompt_level_loose_acc,0.532347504621072,0.021471498720517,541.0,541.0,3.0,2025-09-03T23:44:45,17183.182911912,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,IFEval,leaderboard_ifeval,inst_level_strict_acc,0.5755395683453237,,541.0,541.0,3.0,2025-09-03T23:44:45,17183.182911912,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,IFEval,leaderboard_ifeval,inst_level_loose_acc,0.6534772182254197,,541.0,541.0,3.0,2025-09-03T23:44:45,17183.182911912,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,Math Hard,leaderboard_math_hard,exact_match,0.052870090634441,0.0060577248793135,,,,2025-09-04T00:11:25,18710.119859973005,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,Math Hard,leaderboard_math_algebra_hard,exact_match,0.0781758957654723,0.0153461609904954,307.0,307.0,3.0,2025-09-04T00:11:25,18710.119859973005,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,Math Hard,leaderboard_math_algebra_hard,exact_match_original,0.0488599348534201,0.0123236105846311,307.0,307.0,3.0,2025-09-04T00:11:25,18710.119859973005,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,Math Hard,leaderboard_math_counting_and_prob_hard,exact_match,0.032520325203252,0.0160589982058797,123.0,123.0,3.0,2025-09-04T00:11:25,18710.119859973005,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,Math Hard,leaderboard_math_counting_and_prob_hard,exact_match_original,0.008130081300813,0.008130081300813,123.0,123.0,3.0,2025-09-04T00:11:25,18710.119859973005,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,Math Hard,leaderboard_math_geometry_hard,exact_match,0.0303030303030303,0.0149770197143082,132.0,132.0,3.0,2025-09-04T00:11:25,18710.119859973005,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,Math Hard,leaderboard_math_geometry_hard,exact_match_original,0.0075757575757575,0.0075757575757575,132.0,132.0,3.0,2025-09-04T00:11:25,18710.119859973005,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,Math Hard,leaderboard_math_intermediate_algebra_hard,exact_match,0.0142857142857142,0.0071043508939153,280.0,280.0,3.0,2025-09-04T00:11:25,18710.119859973005,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,Math Hard,leaderboard_math_intermediate_algebra_hard,exact_match_original,0.0,0.0,280.0,280.0,3.0,2025-09-04T00:11:25,18710.119859973005,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,Math Hard,leaderboard_math_num_theory_hard,exact_match,0.0454545454545454,0.0168399675826124,154.0,154.0,3.0,2025-09-04T00:11:25,18710.119859973005,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,Math Hard,leaderboard_math_num_theory_hard,exact_match_original,0.0324675324675324,0.0143288620027597,154.0,154.0,3.0,2025-09-04T00:11:25,18710.119859973005,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,Math Hard,leaderboard_math_prealgebra_hard,exact_match,0.1347150259067357,0.0246397890977094,193.0,193.0,3.0,2025-09-04T00:11:25,18710.119859973005,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,Math Hard,leaderboard_math_prealgebra_hard,exact_match_original,0.0932642487046632,0.0209868545932897,193.0,193.0,3.0,2025-09-04T00:11:25,18710.119859973005,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,Math Hard,leaderboard_math_precalculus_hard,exact_match,0.0074074074074074,0.0074074074074074,135.0,135.0,3.0,2025-09-04T00:11:25,18710.119859973005,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,Math Hard,leaderboard_math_precalculus_hard,exact_match_original,0.0148148148148148,0.0104364945495943,135.0,135.0,3.0,2025-09-04T00:11:25,18710.119859973005,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,MMLU-Pro,leaderboard_mmlu_pro,acc,0.3114195478723404,0.0042218171161115,12032.0,12032.0,0.1,2025-09-04T05:11:18,18025.350087852996,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,MuSR,leaderboard_musr,acc_norm,0.3783068783068783,0.0170285288158791,,, ,2025-09-03T19:49:05,3027.585159522998,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,MuSR,leaderboard_musr_murder_mysteries,acc_norm,0.56,0.0314572445222356,250.0,250.0,1.0,2025-09-03T19:49:05,3027.585159522998,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,MuSR,leaderboard_musr_object_placements,acc_norm,0.31640625,0.0291240305711547,256.0,256.0,1.0,2025-09-03T19:49:05,3027.585159522998,,0
Apertus 8B,swiss-ai/Apertus-8B-Instruct-2509,MuSR,leaderboard_musr_team_allocation,acc_norm,0.26,0.0277973157526443,250.0,250.0,1.0,2025-09-03T19:49:05,3027.585159522998,,0
Qwen2.5 7B,Qwen/Qwen2.5-7B-Instruct,IFEval,leaderboard_ifeval,prompt_level_strict_acc,0.5804066543438078,0.0212365325488551,541.0,541.0,3.0,2025-09-04T04:25:14,10005.750547910007,,0
Qwen2.5 7B,Qwen/Qwen2.5-7B-Instruct,IFEval,leaderboard_ifeval,prompt_level_loose_acc,0.6451016635859519,0.0205906085759264,541.0,541.0,3.0,2025-09-04T04:25:14,10005.750547910007,,0
Qwen2.5 7B,Qwen/Qwen2.5-7B-Instruct,IFEval,leaderboard_ifeval,inst_level_strict_acc,0.6882494004796164,,541.0,541.0,3.0,2025-09-04T04:25:14,10005.750547910007,,0
Qwen2.5 7B,Qwen/Qwen2.5-7B-Instruct,IFEval,leaderboard_ifeval,inst_level_loose_acc,0.7398081534772182,,541.0,541.0,3.0,2025-09-04T04:25:14,10005.750547910007,,0
Qwen2.5 7B,Qwen/Qwen2.5-7B-Instruct,Math Hard,leaderboard_math_hard,exact_match,0.370845921450151,0.0122786628821501,,,,2025-09-04T16:12:59,36653.120397505,,0
Qwen2.5 7B,Qwen/Qwen2.5-7B-Instruct,Math Hard,leaderboard_math_algebra_hard,exact_match,0.6188925081433225,0.0277632716604532,307.0,307.0,3.0,2025-09-04T16:12:59,36653.120397505,,0
Qwen2.5 7B,Qwen/Qwen2.5-7B-Instruct,Math Hard,leaderboard_math_algebra_hard,exact_match_original,0.4788273615635179,0.028557459528313,307.0,307.0,3.0,2025-09-04T16:12:59,36653.120397505,,0
Qwen2.5 7B,Qwen/Qwen2.5-7B-Instruct,Math Hard,leaderboard_math_counting_and_prob_hard,exact_match,0.3983739837398374,0.0443229719533722,123.0,123.0,3.0,2025-09-04T16:12:59,36653.120397505,,0
Qwen2.5 7B,Qwen/Qwen2.5-7B-Instruct,Math Hard,leaderboard_math_counting_and_prob_hard,exact_match_original,0.2764227642276423,0.0404901546062249,123.0,123.0,3.0,2025-09-04T16:12:59,36653.120397505,,0
Qwen2.5 7B,Qwen/Qwen2.5-7B-Instruct,Math Hard,leaderboard_math_geometry_hard,exact_match,0.2651515151515151,0.0385665073581256,132.0,132.0,3.0,2025-09-04T16:12:59,36653.120397505,,0
Qwen2.5 7B,Qwen/Qwen2.5-7B-Instruct,Math Hard,leaderboard_math_geometry_hard,exact_match_original,0.2045454545454545,0.0352425198138033,132.0,132.0,3.0,2025-09-04T16:12:59,36653.120397505,,0
Qwen2.5 7B,Qwen/Qwen2.5-7B-Instruct,Math Hard,leaderboard_math_intermediate_algebra_hard,exact_match,0.1321428571428571,0.0202742065106854,280.0,280.0,3.0,2025-09-04T16:12:59,36653.120397505,,0
Qwen2.5 7B,Qwen/Qwen2.5-7B-Instruct,Math Hard,leaderboard_math_intermediate_algebra_hard,exact_match_original,0.0571428571428571,0.0138963844889691,280.0,280.0,3.0,2025-09-04T16:12:59,36653.120397505,,0
Qwen2.5 7B,Qwen/Qwen2.5-7B-Instruct,Math Hard,leaderboard_math_num_theory_hard,exact_match,0.3701298701298701,0.0390352404356129,154.0,154.0,3.0,2025-09-04T16:12:59,36653.120397505,,0
Qwen2.5 7B,Qwen/Qwen2.5-7B-Instruct,Math Hard,leaderboard_math_num_theory_hard,exact_match_original,0.2597402597402597,0.0354499792315657,154.0,154.0,3.0,2025-09-04T16:12:59,36653.120397505,,0
Qwen2.5 7B,Qwen/Qwen2.5-7B-Instruct,Math Hard,leaderboard_math_prealgebra_hard,exact_match,0.5181347150259067,0.0360606500183291,193.0,193.0,3.0,2025-09-04T16:12:59,36653.120397505,,0
Qwen2.5 7B,Qwen/Qwen2.5-7B-Instruct,Math Hard,leaderboard_math_prealgebra_hard,exact_match_original,0.4559585492227979,0.0359441371127243,193.0,193.0,3.0,2025-09-04T16:12:59,36653.120397505,,0
Qwen2.5 7B,Qwen/Qwen2.5-7B-Instruct,Math Hard,leaderboard_math_precalculus_hard,exact_match,0.1703703703703703,0.0324778118599559,135.0,135.0,3.0,2025-09-04T16:12:59,36653.120397505,,0
Qwen2.5 7B,Qwen/Qwen2.5-7B-Instruct,Math Hard,leaderboard_math_precalculus_hard,exact_match_original,0.0814814814814814,0.0236331176777868,135.0,135.0,3.0,2025-09-04T16:12:59,36653.120397505,,0
Qwen2.5 7B,Qwen/Qwen2.5-7B-Instruct,MMLU-Pro,leaderboard_mmlu_pro,acc,0.4472240691489361,0.0045330058892953,12032.0,12032.0,0.1,2025-09-04T14:40:22,16270.298363085996,,0
Qwen2.5 7B,Qwen/Qwen2.5-7B-Instruct,MuSR,leaderboard_musr,acc_norm,0.4259259259259259,0.0177962480210253,,, ,2025-09-03T21:33:15,2852.9868219010023,,0
Qwen2.5 7B,Qwen/Qwen2.5-7B-Instruct,MuSR,leaderboard_musr_murder_mysteries,acc_norm,0.536,0.0316039751452237,250.0,250.0,1.0,2025-09-03T21:33:15,2852.9868219010023,,0
Qwen2.5 7B,Qwen/Qwen2.5-7B-Instruct,MuSR,leaderboard_musr_object_placements,acc_norm,0.36328125,0.0301179370305182,256.0,256.0,1.0,2025-09-03T21:33:15,2852.9868219010023,,0
Qwen2.5 7B,Qwen/Qwen2.5-7B-Instruct,MuSR,leaderboard_musr_team_allocation,acc_norm,0.38,0.030760116042626,250.0,250.0,1.0,2025-09-03T21:33:15,2852.9868219010023,,0
OLMo-2 7B,allenai/OLMo-2-1124-7B-Instruct,IFEval,leaderboard_ifeval,prompt_level_strict_acc,0.5767097966728281,0.0212618423252484,541.0,541.0,3.0,2025-09-03T23:12:07,20939.523135540992,,0
OLMo-2 7B,allenai/OLMo-2-1124-7B-Instruct,IFEval,leaderboard_ifeval,inst_level_strict_acc,0.6750599520383693,,541.0,541.0,3.0,2025-09-03T23:12:07,20939.523135540992,,0
OLMo-2 7B,allenai/OLMo-2-1124-7B-Instruct,IFEval,leaderboard_ifeval,prompt_level_loose_acc,0.6284658040665434,0.0207942538887075,541.0,541.0,3.0,2025-09-03T23:12:07,20939.523135540992,,0
OLMo-2 7B,allenai/OLMo-2-1124-7B-Instruct,IFEval,leaderboard_ifeval,inst_level_loose_acc,0.7242206235011991,,541.0,541.0,3.0,2025-09-03T23:12:07,20939.523135540992,,0
OLMo-2 7B,allenai/OLMo-2-1124-7B-Instruct,MMLU-Pro,leaderboard_mmlu_pro,acc,0.2902260638297872,0.0041378749921777,12032.0,12032.0,0.1,2025-09-05T06:52:14,15487.095856939995,,0
OLMo-2 7B,allenai/OLMo-2-1124-7B-Instruct,Math Hard,leaderboard_math_hard,exact_match,0.1170694864048338,0.008427140793729,,,,2025-09-04T05:01:13,93056.135780166,,0
OLMo-2 7B,allenai/OLMo-2-1124-7B-Instruct,Math Hard,leaderboard_math_algebra_hard,exact_match,0.254071661237785,0.0248866221375497,307.0,307.0,3.0,2025-09-04T05:01:13,93056.135780166,,0
OLMo-2 7B,allenai/OLMo-2-1124-7B-Instruct,Math Hard,leaderboard_math_algebra_hard,exact_match_original,0.1563517915309446,0.0207621063837517,307.0,307.0,3.0,2025-09-04T05:01:13,93056.135780166,,0
OLMo-2 7B,allenai/OLMo-2-1124-7B-Instruct,Math Hard,leaderboard_math_counting_and_prob_hard,exact_match,0.089430894308943,0.0258357056035472,123.0,123.0,3.0,2025-09-04T05:01:13,93056.135780166,,0
OLMo-2 7B,allenai/OLMo-2-1124-7B-Instruct,Math Hard,leaderboard_math_counting_and_prob_hard,exact_match_original,0.065040650406504,0.0223258954625919,123.0,123.0,3.0,2025-09-04T05:01:13,93056.135780166,,0
OLMo-2 7B,allenai/OLMo-2-1124-7B-Instruct,Math Hard,leaderboard_math_geometry_hard,exact_match,0.0681818181818181,0.0220223789459028,132.0,132.0,3.0,2025-09-04T05:01:13,93056.135780166,,0
OLMo-2 7B,allenai/OLMo-2-1124-7B-Instruct,Math Hard,leaderboard_math_geometry_hard,exact_match_original,0.0378787878787878,0.0166792793947125,132.0,132.0,3.0,2025-09-04T05:01:13,93056.135780166,,0
OLMo-2 7B,allenai/OLMo-2-1124-7B-Instruct,Math Hard,leaderboard_math_intermediate_algebra_hard,exact_match,0.0142857142857142,0.0071043508939153,280.0,280.0,3.0,2025-09-04T05:01:13,93056.135780166,,0
OLMo-2 7B,allenai/OLMo-2-1124-7B-Instruct,Math Hard,leaderboard_math_intermediate_algebra_hard,exact_match_original,0.0035714285714285,0.0035714285714285,280.0,280.0,3.0,2025-09-04T05:01:13,93056.135780166,,0
OLMo-2 7B,allenai/OLMo-2-1124-7B-Instruct,Math Hard,leaderboard_math_num_theory_hard,exact_match,0.0584415584415584,0.0189643874519578,154.0,154.0,3.0,2025-09-04T05:01:13,93056.135780166,,0
OLMo-2 7B,allenai/OLMo-2-1124-7B-Instruct,Math Hard,leaderboard_math_num_theory_hard,exact_match_original,0.0324675324675324,0.0143288620027597,154.0,154.0,3.0,2025-09-04T05:01:13,93056.135780166,,0
OLMo-2 7B,allenai/OLMo-2-1124-7B-Instruct,Math Hard,leaderboard_math_prealgebra_hard,exact_match,0.2176165803108808,0.0297786630377529,193.0,193.0,3.0,2025-09-04T05:01:13,93056.135780166,,0
OLMo-2 7B,allenai/OLMo-2-1124-7B-Instruct,Math Hard,leaderboard_math_prealgebra_hard,exact_match_original,0.1658031088082901,0.0268398450223144,193.0,193.0,3.0,2025-09-04T05:01:13,93056.135780166,,0
OLMo-2 7B,allenai/OLMo-2-1124-7B-Instruct,Math Hard,leaderboard_math_precalculus_hard,exact_match,0.0148148148148148,0.0104364945495943,135.0,135.0,3.0,2025-09-04T05:01:13,93056.135780166,,0
OLMo-2 7B,allenai/OLMo-2-1124-7B-Instruct,Math Hard,leaderboard_math_precalculus_hard,exact_match_original,0.0148148148148148,0.0104364945495943,135.0,135.0,3.0,2025-09-04T05:01:13,93056.135780166,,0
OLMo-2 7B,allenai/OLMo-2-1124-7B-Instruct,MuSR,leaderboard_musr,acc_norm,0.3981481481481481,0.0175624276110464,,,,2025-09-05T11:10:32,2803.425000545016,,0
OLMo-2 7B,allenai/OLMo-2-1124-7B-Instruct,MuSR,leaderboard_musr_murder_mysteries,acc_norm,0.516,0.0316699850301074,250.0,250.0,1.0,2025-09-05T11:10:32,2803.425000545016,,0
OLMo-2 7B,allenai/OLMo-2-1124-7B-Instruct,MuSR,leaderboard_musr_object_placements,acc_norm,0.3671875,0.0301864038894899,256.0,256.0,1.0,2025-09-05T11:10:32,2803.425000545016,,0
OLMo-2 7B,allenai/OLMo-2-1124-7B-Instruct,MuSR,leaderboard_musr_team_allocation,acc_norm,0.312,0.0293610675752198,250.0,250.0,1.0,2025-09-05T11:10:32,2803.425000545016,,0
Mistral 7B,mistralai/Mistral-7B-Instruct-v0.3,IFEval,leaderboard_ifeval,prompt_level_strict_acc,0.4473197781885397,0.0213968150204259,541.0,541.0,3.0,2025-09-04T01:38:22,6810.8595383810025,,0
Mistral 7B,mistralai/Mistral-7B-Instruct-v0.3,IFEval,leaderboard_ifeval,prompt_level_loose_acc,0.4713493530499076,0.0214812209300804,541.0,541.0,3.0,2025-09-04T01:38:22,6810.8595383810025,,0
Mistral 7B,mistralai/Mistral-7B-Instruct-v0.3,IFEval,leaderboard_ifeval,inst_level_strict_acc,0.5635491606714629,,541.0,541.0,3.0,2025-09-04T01:38:22,6810.8595383810025,,0
Mistral 7B,mistralai/Mistral-7B-Instruct-v0.3,IFEval,leaderboard_ifeval,inst_level_loose_acc,0.5959232613908872,,541.0,541.0,3.0,2025-09-04T01:38:22,6810.8595383810025,,0
Mistral 7B,mistralai/Mistral-7B-Instruct-v0.3,Math Hard,leaderboard_math_hard,exact_match,0.0294561933534743,0.004604049420475,,,,2025-09-04T06:01:59,21026.651422742,,0
Mistral 7B,mistralai/Mistral-7B-Instruct-v0.3,Math Hard,leaderboard_math_algebra_hard,exact_match,0.0488599348534201,0.0123236105846311,307.0,307.0,3.0,2025-09-04T06:01:59,21026.651422742,,0
Mistral 7B,mistralai/Mistral-7B-Instruct-v0.3,Math Hard,leaderboard_math_algebra_hard,exact_match_original,0.0488599348534201,0.0123236105846311,307.0,307.0,3.0,2025-09-04T06:01:59,21026.651422742,,0
Mistral 7B,mistralai/Mistral-7B-Instruct-v0.3,Math Hard,leaderboard_math_counting_and_prob_hard,exact_match,0.016260162601626,0.0114504526769256,123.0,123.0,3.0,2025-09-04T06:01:59,21026.651422742,,0
Mistral 7B,mistralai/Mistral-7B-Instruct-v0.3,Math Hard,leaderboard_math_counting_and_prob_hard,exact_match_original,0.008130081300813,0.008130081300813,123.0,123.0,3.0,2025-09-04T06:01:59,21026.651422742,,0
Mistral 7B,mistralai/Mistral-7B-Instruct-v0.3,Math Hard,leaderboard_math_geometry_hard,exact_match,0.0,0.0,132.0,132.0,3.0,2025-09-04T06:01:59,21026.651422742,,0
Mistral 7B,mistralai/Mistral-7B-Instruct-v0.3,Math Hard,leaderboard_math_geometry_hard,exact_match_original,0.0,0.0,132.0,132.0,3.0,2025-09-04T06:01:59,21026.651422742,,0
Mistral 7B,mistralai/Mistral-7B-Instruct-v0.3,Math Hard,leaderboard_math_intermediate_algebra_hard,exact_match,0.0071428571428571,0.0050417030513905,280.0,280.0,3.0,2025-09-04T06:01:59,21026.651422742,,0
Mistral 7B,mistralai/Mistral-7B-Instruct-v0.3,Math Hard,leaderboard_math_intermediate_algebra_hard,exact_match_original,0.0071428571428571,0.0050417030513905,280.0,280.0,3.0,2025-09-04T06:01:59,21026.651422742,,0
Mistral 7B,mistralai/Mistral-7B-Instruct-v0.3,Math Hard,leaderboard_math_num_theory_hard,exact_match,0.0129870129870129,0.0091531452791502,154.0,154.0,3.0,2025-09-04T06:01:59,21026.651422742,,0
Mistral 7B,mistralai/Mistral-7B-Instruct-v0.3,Math Hard,leaderboard_math_num_theory_hard,exact_match_original,0.0129870129870129,0.0091531452791502,154.0,154.0,3.0,2025-09-04T06:01:59,21026.651422742,,0
Mistral 7B,mistralai/Mistral-7B-Instruct-v0.3,Math Hard,leaderboard_math_prealgebra_hard,exact_match,0.077720207253886,0.0193218055572231,193.0,193.0,3.0,2025-09-04T06:01:59,21026.651422742,,0
Mistral 7B,mistralai/Mistral-7B-Instruct-v0.3,Math Hard,leaderboard_math_prealgebra_hard,exact_match_original,0.0725388601036269,0.0187189985206782,193.0,193.0,3.0,2025-09-04T06:01:59,21026.651422742,,0
Mistral 7B,mistralai/Mistral-7B-Instruct-v0.3,Math Hard,leaderboard_math_precalculus_hard,exact_match,0.0222222222222222,0.0127338997150596,135.0,135.0,3.0,2025-09-04T06:01:59,21026.651422742,,0
Mistral 7B,mistralai/Mistral-7B-Instruct-v0.3,Math Hard,leaderboard_math_precalculus_hard,exact_match_original,0.0296296296296296,0.0146480386027538,135.0,135.0,3.0,2025-09-04T06:01:59,21026.651422742,,0
Mistral 7B,mistralai/Mistral-7B-Instruct-v0.3,MMLU-Pro,leaderboard_mmlu_pro,acc,0.3056017287234042,0.0041998265568189,12032.0,12032.0,0.1,2025-09-04T10:09:01,17852.022251271002,,0
Mistral 7B,mistralai/Mistral-7B-Instruct-v0.3,MuSR,leaderboard_musr,acc_norm,0.4748677248677249,0.0180934046229753,,, ,2025-09-03T20:45:36,3383.359673389001,,0
Mistral 7B,mistralai/Mistral-7B-Instruct-v0.3,MuSR,leaderboard_musr_murder_mysteries,acc_norm,0.536,0.0316039751452237,250.0,250.0,1.0,2025-09-03T20:45:36,3383.359673389001,,0
Mistral 7B,mistralai/Mistral-7B-Instruct-v0.3,MuSR,leaderboard_musr_object_placements,acc_norm,0.40625,0.0307558977286965,256.0,256.0,1.0,2025-09-03T20:45:36,3383.359673389001,,0
Mistral 7B,mistralai/Mistral-7B-Instruct-v0.3,MuSR,leaderboard_musr_team_allocation,acc_norm,0.484,0.0316699850301074,250.0,250.0,1.0,2025-09-03T20:45:36,3383.359673389001,,0
